City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la passe,45.5549,-0.8967,10.55,75,100,10.46,FR,2024-2-10
1,yunyang,33.4474,112.7142,15.5,24,26,5.04,CN,2024-2-10
2,hawaiian paradise park,19.5933,-154.9731,21.13,95,50,5.19,US,2024-2-10
3,grytviken,-54.2811,-36.5092,2.73,97,100,9.42,GS,2024-2-10
4,adamstown,-25.066,-130.1015,24.89,93,100,13.42,PN,2024-2-10
5,keflavik,64.0049,-22.5624,-4.76,74,40,4.63,IS,2024-2-10
6,susuman,62.7833,148.1667,-33.36,98,98,2.11,RU,2024-2-10
7,puerto ayora,-0.7393,-90.3518,25.86,98,39,4.14,EC,2024-2-10
8,port-aux-francais,-49.35,70.2167,7.94,97,100,10.08,TF,2024-2-10
9,rundu,-17.9333,19.7667,30.9,40,73,1.48,NA,2024-2-10
10,jamestown,42.097,-79.2353,10.77,88,75,5.66,US,2024-2-10
11,blackmans bay,-43.0167,147.3167,16.07,61,0,2.45,AU,2024-2-10
12,pitomaca,45.9506,17.2294,12.04,64,73,3.87,HR,2024-2-10
13,tazovsky,67.4667,78.7,-16.07,94,100,5.74,RU,2024-2-10
14,udachny,66.4167,112.4,-31.42,74,81,0.9,RU,2024-2-10
15,waitangi,-43.9535,-176.5597,17.12,81,68,4.02,NZ,2024-2-10
16,kruisfontein,-34.0033,24.7314,23.82,49,1,7.85,ZA,2024-2-10
17,albany,42.6001,-73.9662,7.23,83,100,1.56,US,2024-2-10
18,saipan,15.1355,145.701,26.49,73,94,8.52,MP,2024-2-10
19,inarajan village,13.2736,144.7484,28.33,83,100,8.7,GU,2024-2-10
20,aldan,58.6031,125.3894,-18.3,97,100,0.5,RU,2024-2-10
21,lihue,21.9789,-159.3672,22.77,77,100,4.63,US,2024-2-10
22,noshiro,40.2039,140.0242,2.46,97,100,3.82,JP,2024-2-10
23,papatowai,-46.5619,169.4708,8.77,79,100,8.08,NZ,2024-2-10
24,owen sound,44.5672,-80.9435,5.64,89,7,2.24,CA,2024-2-10
25,puerto natales,-51.7236,-72.4875,7.82,96,47,1.61,CL,2024-2-10
26,kodiak,57.79,-152.4072,0.73,80,100,3.09,US,2024-2-10
27,sinabang,2.4803,96.3801,29.67,70,98,2.68,ID,2024-2-10
28,road town,18.4167,-64.6167,24.31,65,100,6.98,VG,2024-2-10
29,yueyang,29.3333,113.0919,14.65,49,0,4.37,CN,2024-2-10
30,punta arenas,-53.15,-70.9167,10.62,76,0,4.63,CL,2024-2-10
31,suva,-18.1416,178.4415,25.71,100,100,0.0,FJ,2024-2-10
32,dongola,19.1667,30.4833,22.71,16,4,6.03,SD,2024-2-10
33,san agustin de valle fertil,-30.6335,-67.4682,22.12,80,12,2.31,AR,2024-2-10
34,boguchany,58.3814,97.4531,1.03,99,100,5.36,RU,2024-2-10
35,olonkinbyen,70.9221,-8.7187,-2.95,68,85,6.08,SJ,2024-2-10
36,mamou,10.5,-12.0,21.57,22,93,0.25,GN,2024-2-10
37,vredendal,-31.6683,18.5012,22.4,46,0,2.6,ZA,2024-2-10
38,port blair,11.6667,92.75,30.02,66,20,4.63,IN,2024-2-10
39,bethel,41.3712,-73.414,6.46,90,0,0.0,US,2024-2-10
40,mount gambier,-37.8333,140.7667,18.82,61,4,4.56,AU,2024-2-10
41,bredasdorp,-34.5322,20.0403,20.39,47,97,1.47,ZA,2024-2-10
42,nova sintra,14.8667,-24.7167,20.93,68,0,8.38,CV,2024-2-10
43,margaret river,-33.95,115.0667,22.51,74,0,7.98,AU,2024-2-10
44,hirara,24.8,125.2833,18.15,55,75,8.75,JP,2024-2-10
45,kakata,6.53,-10.3517,24.49,85,48,0.13,LR,2024-2-10
46,axim,4.8699,-2.2405,28.41,75,10,1.96,GH,2024-2-10
47,vilyuchinsk,52.9306,158.4028,-8.85,84,26,4.64,RU,2024-2-10
48,mesquite,32.7668,-96.5992,16.4,82,100,2.06,US,2024-2-10
